,0
121,"The Pipeline Vantage 21 flow diverter is a 4th generation 48-braid stent recently introduced in the United States that is intended for small parent vessel diameter (<3.5 mm) wide-necked aneurysm treatment. We report our clinical and angiographic outcomes in an initial case series. Twenty patients with 22 aneurysms (6 pericallosal, 13 anterior communicating, 2 V4, and 1 middle cerebral) underwent Vantage 21 treatment using 22 stents between April 2024 and January 2026. All procedures were performed via transfemoral triaxial access with platelet function testing on day of procedure. Mean aneurysm size was 3.7±1.5 mm. Aneurysm occlusion status was reported by modified Raymond Roy classification (mRRC). Vantage 21 deployed successfully in all cases with excellent vessel wall apposition. Median clinical follow-up at 12 months (patients, n = 20) revealed one symptomatic stroke and two asymptomatic strokes. Median 4-month follow-up angiography for 20/22 stents revealed complete occlusion (mRRC 1) in 16/20 evaluated aneurysms (80%), accompanied by in-stent luminal stenosis (ISS) in 10/20 stents (50%), exceeding ≥ 50% (severe) in 7/20 stents (35%). All 10 cases of ISS had intimal hyperplasia, and two cases had fishmouth braid deformity with concurrent intimal hyperplasia. Of a total 38 arterial branches covered by Vantage 21 stents with DSA follow-up, 6 progressed to occlusion, and 21/38 (55.3%) demonstrated significant caliber reduction on cone-beam computer tomography angiography with maintained antegrade patency, resulting in two asymptomatic caudate infarcts on follow-up MRI with evidence of narrowed or occluded ipsilateral artery of Heubner. This early US-based single-center series noted rapid aneurysm involution rates for the Pipeline Vantage 21 flow diverting stent. However, this is accompanied by a robust intimal hyperplastic vascular response in small parent vessels leading to frequent ISS and side-branch attenuation warranting longer-term clinical follow-up and caution if considering coverage of critical branch vessels. Larger samples with longer term follow-up are needed to validate these findings."
122,"Abnormal cognitive aging is characterized by memory decline beyond normal age-related physiological changes. Nevertheless, the intrinsic mechanisms driving individual memory heterogeneity during aging remain poorly elucidated. Given the critical roles of brain interstitial fluid (ISF) dynamics and extracellular space (ECS) transport in maintaining neural homeostasis, the present study aimed to explore whether ECS compartmentalization and ISF drainage disturbance contribute to interindividual variations in memory performance during aging. Aged rats were stratified according to their memory performance. A multi-modal strategy combining behavioral assessment, microdialysis, metabolomics, and electrophysiological recording was applied to detect structural and functional deficits in ECS barrier integrity and ISF drainage, with the assistance of MRI-based tracer imaging, fluorescence imaging, and ultrastructural observation. The results demonstrated that memory-impaired aged rats exhibited region-specific neurotransmitter imbalance in the caudate nucleus and thalamus, which was closely associated with age-related ECS barrier dysfunction. Such barrier dysfunction induced ISF drainage disturbance, thereby reducing local neurotransmitter concentrations in the caudate nucleus and impairing thalamocortical oscillations during non-rapid eye movement sleep, and ultimately disturbing memory consolidation. Further tracer imaging and electron microscopy examinations confirmed that compromised myelin integrity in the internal capsule served as the structural basis for age-related ISF drainage disturbance. Collectively, these findings reveal that ISF drainage disturbance induced by age-related ECS barrier alterations acts as a non-degenerative mechanism underlying memory heterogeneity in cognitive aging. This work highlights ECS compartment integrity as a promising biomarker and therapeutic target for intervening age-related cognitive decline."
123,"This study investigated the associations of modifiable lifestyle factors with incident dementia, dementia subtypes, and structural brain changes, examined whether these associations differed across KDIGO-defined kidney function risk categories. We analyzed 304,369 participants from the UK Biobank. Kidney function was classified using the KDIGO risk framework, with participants grouped into low- and increased-risk categories. A composite lifestyle score, derived from the American Heart Association Life's Essential 8 framework, was constructed based on eight modifiable components: diet quality, physical activity, smoking status, sleep duration, body mass index, blood lipid, blood glucose, and blood pressure. Outcomes included incident dementia and total and regional brain volumes. Among participants at increased KDIGO-defined risk, those in the intermediate and highest tertiles of the lifestyle score had a lower risk of dementia compared with those in the lowest tertile (hazard ratios, 0.826 [95% CI, 0.689-0.990] and 0.749 [95% CI, 0.585-0.958], respectively). Associations differed by dementia subtype: higher lifestyle scores were consistently associated with a lower risk of vascular dementia, whereas no overall association was observed with Alzheimer's disease. Higher lifestyle scores were also associated with larger total grey matter volume and greater volumes of subcortical structures, including caudate, pallidum, putamen, and thalamus, as well as lower volumes of total, deep, and periventricular white matter hyperintensities. Similar associations were observed in the low-risk group. A healthier lifestyle was associated with a lower risk of dementia, particularly vascular dementia, and with more favorable structural brain characteristics, with similar associations across KDIGO risk groups."
124,"Alzheimer's disease is the most common cause of dementia in humans and has been the subject of intense study for decades. Despite these efforts, the precise underlying cause or causes of Alzheimer's disease have remained elusive. Here we implement novel analysis of mass-spectrometry derived proteomics data to examine an understudied phenomenon related to Alzheimer's disease, isomerization of the protein tau. Isomerization is a spontaneous chemical modification that occurs in long-lived proteins and evolves most rapidly at aspartic acid. Recent results have demonstrated that isomerization of tau is more prevalent in Alzheimer's disease relative to healthy controls. To further map out the importance of tau isomerization in neurodegeneration, we examined its prevalence in several additional diseases by mining publicly available datasets and our own results, allowing for examination of Parkinson's disease, Lewy body dementia, vascular brain injury, and chronic traumatic encephalopathy. To evaluate the extent of tau isomerization in various locations within the brain in Alzheimer's disease, we examined samples from the frontal cortex, anterior cingulate gyrus, inferior parietal lobule, and caudate. Interestingly, our results demonstrate that significant isomerization of tau occurs only in individuals with Alzheimer's disease. In terms of localization, tau was easily detected in all regions of the brain, and tau isomerization was detected for Alzheimer's disease in all regions except the caudate. Importantly, tau isomerization can be easily and rigorously quantified from proteomics data. Comparison of the extent of tau isomerization with pre-mortem performance on the Mini-Mental State Examination revealed strong correlation. In addition to minimal abundance in other forms of neurodegeneration, tau isomerization was also low for a small number of the individuals designated to have Alzheimer's disease in our study, however consideration of other factors such as genetic predisposition, age, and mental acuity also differentiates these individuals. Importantly, the amount of tau isomerization observed in our studies does not correlate in any meaningful way with tau aggregation. Collectively, these observations suggest that tau isomerization derives from a different pathogenesis than other neurodegenerative markers, one that is only prevalent in Alzheimer's disease and may offer means for delineating the underlying causes of the disease."
125,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder characterized by amyloid-beta plaques and tau tangles, with significant pathological changes occurring in subcortical brain regions. While previous research has focused primarily on volumetric reductions in areas such as the hippocampus, thalamus, and caudate, emerging evidence suggests that their fine-grained shape deformations may offer greater sensitivity to early disease pathology. Moreover, understanding how these shape alterations influence brain functional connectivity (FC) networks could provide critical insights into the neurobiological mechanisms underlying the progression of AD. In this context, we propose a novel statistical approach, the Connectivity-on-Shape Regression (COSR) model, designed to investigate the spatially varying impact of brain subcortical shape on FC, accounting for the intrinsic modularity of functional networks. Under a Bayesian framework, COSR employs a relaxed-thresholded Gaussian process prior model to promote feature selection and integrates a stochastic block model to capture the unknown modular organization of FC. To facilitate the practical application of COSR with vertex-level shape measurements, we develop a computationally efficient variational inference approach to achieve posterior inference. Extensive simulations demonstrate the superiority of COSR over existing alternatives in accurately uncovering connectivity-to-shape associations and identifying neurobiological signals. Applying COSR to data from the Anti-Amyloid Treatment in Asymptomatic Alzheimer's study, we discover meaningful neural structural-functional relationships in amyloid-positive individuals, highlighting the potentially complex interplay between structural and functional brain alterations during this crucial preclinical stage of AD."
126,"Measures of nucleotide sequence conservation across species are useful for identifying functional genomic loci, but can fail when regulatory function is maintained, often in a cell type-specific manner, even when sequence is not. We introduce CTACIT, the Cell Type-Aware Conservation Inference Toolkit, to identify trait-associated regulatory variants. CTACIT integrates sequence conservation scores with cell type-specific open chromatin data collected from a few mammalian species to impute function for hundreds more. Applying CTACIT to neuropsychiatric trait loci identifies higher heritability enrichment and more fine-mapped variants than nucleotide conservation and human chromatin data alone. Our <i>in vivo</i> reporter assays validate predictions for enhancers with risk variants near the <i>DRD2</i> schizophrenia risk locus. By integrating genome conservation and multi-species open chromatin data, CTACIT prioritizes variants within regions of conserved regulatory function for <i>in vivo</i> characterization and addresses a major challenge in translating disease associations to mechanistic understanding. Regulatory functions conserved across mammals underlying caudate cell type evolution reveal functions of human risk variants."
127,"Neuropathological and biomarker evidence implicates tau dysregulation as a downstream component of Huntington's disease (HD) pathobiology, yet its in vivo distribution has not been characterised using second-generation tau-PET tracers. We aimed to define the regional organisation, stage dependence and clinical relevance of tau-sensitive PET signal across the HD disease spectrum. Fifty-four participants (13 healthy controls, 9 premanifest mutation carriers and 32 manifest carriers) underwent 60-minute dynamic [¹⁸F]PI-2620 PET imaging. Tau-PET signal was quantified using distribution volume ratios (DVR) derived from reference-tissue kinetic modelling. Analyses combined region-of-interest and whole-brain mapping with threshold-based positivity profiling, modelling of cumulative genetic disease burden (CAP), and clinico-anatomical association analyses. Tau-PET abnormalities showed a spatially ordered pattern dominated by subcortical involvement. The globus pallidus exhibited the strongest effect, with marked DVR increases and high positivity rates emerging in premanifest carriers and approaching saturation in manifest HD. Additional subcortical changes involved the putamen, whereas caudate DVR decreased in manifest disease. Cortical effects were more modest and selectively involved posterior associative regions. CAP modelling supported predominantly monotonic subcortical stage-related profiles, while limbic and cortical regions showed heterogeneous cross-sectional patterns. Clinico-anatomical analyses linked subcortical tau-PET signal with genetic burden and motor severity and limbic signal with psychiatric symptoms. Tau-sensitive PET signal represents a spatially ordered and stage-dependent feature of HD and identifies a reproducible pallidal signature linked to disease burden, supporting its potential as a biomarker for patient stratification and mechanistic monitoring in therapeutic studies targeting downstream pathological processes. NCT07503743."
128,"Alcohol use disorder (AUD) affects over 28 million people in the U.S and is associated with neurobiological alterations, including in the basal ganglia. Within the basal ganglia, the caudate nucleus (caudate) and putamen are implicated in AUD due to their roles in ethanol reinforcement. The caudate receives inputs from cortico-associative areas, and the putamen receives inputs from somatosensory areas, supporting goal-directed and habitual behaviors, respectively. These distinct behavioral roles are supported by dopamine signaling, including phasic dopamine, which is involved in assessing action-outcome associations, and tonic dopamine, which reflects ongoing dopaminergic tone that biases action initiation. Intrastriatal dopamine release is modulated by cholinergic interneurons via nicotinic acetylcholine receptors. Dysregulation of these mechanisms can contribute to the transition from occasional to habitual ethanol drinking. Here, we used in-vitro fast-scan cyclic voltammetry to measure dopamine signaling in male and female rhesus macaques following six months of ethanol self-administration. In the putamen, ethanol increased tonic dopamine in both sexes, with females exhibiting greater release and faster dopamine uptake rates than males. In the caudate, ethanol self-administration enhanced dopamine uptake rates only in males. Phasic dopamine release was enhanced by ethanol in the caudate of both sexes, but only in the putamen in males. Further, nAChR blockade revealed that phasic dopamine release in ethanol males, but not females, was dependent on cholinergic modulation. These results demonstrate that basal and sex-specific dopamine release and uptake are uniquely altered in rhesus macaque caudate and putamen in conjunction with chronic ethanol drinking."
129,"Coronavirus disease 2019 (COVID-19) was reported to persist long-term in the brain and leave several long-term neurologic sequelae. However, the causal relationship between COVID-19 and brain aging is still unknown. The genome-wide association study (GWAS) data on COVID-19 phenotypes (susceptibility, hospitalization, and severity), involving a total of 5,779,391 participants, were collected from the COVID-19 Host Genetics Initiative. In addition, GWAS data on longitudinal changes in 15 brain structures, assessed via magnetic resonance imaging across the lifespan, were sourced from the ENIGMA Consortium and involved 15,640 participants. Two-sample Mendelian randomization was conducted to infer the causal relationship between COVID-19 and longitudinal brain changes. Multi-trait GWAS meta-analysis, colocalization, and fine-mapping analyses were performed to identify shared genetic etiologies. H3K27me3 ChIP-seq was used to evaluate the regulatory effect of colocalized loci. Two-step Mendelian randomization was applied to explore potential mediating mechanisms across multi-omics layers, including proteomics, metabolomics, and immunomics. Our results showed that COVID-19 hospitalization (β = -262.405, P = .041) and severity (β = -177.676, P = .049) were genetically associated with atrophied volume of total brain during longitudinal change. This suggests that individuals with advanced COVID-19 may be more susceptible to accelerated global brain aging. Caudate was genetically affected by all COVID-19 phenotypes. Seven variants were shared between advanced COVID-19 and global brain aging. rs117169628 was colocalized between advanced COVID-19 and global brain aging, and exerted an inhibitory effect on CDH15 expression, further strengthening the causality. Six metabolites, 1 protein, and 1 immune trait were identified as potential mediators. Our study indicates that advanced COVID-19 might be genetically associated with accelerated brain aging. Brain health should be paid more attention in long COVID-19."
130,"To develop and validate an interpretable machine learning model based on multicenter T1-weighted MRI radiomics data for the three-way classification of Parkinson's disease (PD)-Normal (NM), early-stage, and mid-late-stage-and to clarify the diagnostic value of key cortical nuclear features, with further elucidation of the molecular basis through proteomic association analysis. A total of 200 patients from multiple centers were included and divided into a training set (n = 76), an internal validation set (n = 33), and an external validation set (n = 91). Six core nuclei, including the caudate nucleus (CN), putamen (PUT), globus pallidus (GP), red nucleus (RN), substantia nigra (SN), and nucleus accumbens (NAc), were segmented using the DKT template. A total of 107 radiomics features were extracted per nucleus. After a three-step dimension reduction (variance thresholding, univariate selection, and multi-class LASSO), key features were identified. Five machine learning models were constructed. Model performance was evaluated using micro/macro-AUC and accuracy (ACC). SHAP analysis was employed to reveal the contribution of specific features to the diagnostic process. Additionally, proteomic analysis was performed on a subset of patients from Center 1 to screen for differentially expressed proteins among groups, and correlation analysis between DEPs and key radiomic features was conducted to explore biological mechanisms. Nine key features were finally selected, predominantly consisting of gray-level non-uniformity within the PUT. The GBT model performed optimally, with macro-AUC/micro-AUC of 0.890/0.902 in the internal validation set and 0.876/0.869 in the external validation set, respectively. SHAP analysis indicated that the NM group primarily relied on texture features of the PUT and NAc; early-stage PD was characterized by structural changes in the GP and PUT; and mid-late-stage PD was correlated with features from the SN and RN. Proteomic analysis identified 514 DEPs between early PD and controls (411 upregulated, 103 downregulated), which were enriched in cytoskeletal and immune pathways (FDR < 0.05), and 123 DEPs between mid-to-late and early PD (26 upregulated, 97 downregulated), which were enriched in proteasome and neurodegeneration pathways (FDR < 0.05). Multiple significant correlations between key radiomic features and DEPs were identified (all FDR-corrected P < 0.01), including original_gldm_DependenceNonUniformity_PUT with HGFAC (r = 0.510), original_ngtdm_Contrast_GP with PLAT (r = 0.453), and original_glrlm_RunEntropy_GP_QSM with both ASPN (r = 0.62) and TFPI (r = - 0.58). Interpretable machine learning models based on multicenter T1-weighted nuclear radiomics features can accurately diagnose and stage PD. Integration of radiomics and proteomics enhances model interpretability by linking imaging features to underlying biological mechanisms, providing an objective imaging basis for clinical practice and exhibiting strong generalizability and potential for clinical translation."
131,"Klebsiella pneumoniae liver abscess (KLA) is an emerging public health concern in Asia. Involvement of the caudate lobe with concurrent inferior vena cava thrombosis is exceedingly rare but life-threatening. Timely diagnosis and management are critical but challenging. Multimodal ultrasound can play a pivotal role in both diagnosis and treatment guidance. A 66-year-old woman with diabetes presented with 10 days of fever and chills. Imaging revealed a caudate lobe liver abscess containing gas with extension to the inferior vena cava (IVC) and associated septic thrombosis. Contrast-enhanced ultrasound and CT confirmed a Klebsiella pneumoniae liver abscess. Ultrasound-guided percutaneous drainage was performed, and cultures identified an ESBL-producing Klebsiella pneumoniae. The patient was treated with broad-spectrum antibiotics, therapeutic anticoagulation, and catheter drainage. Despite an episode of septic shock during hospitalization, she gradually improved, and follow-up imaging showed near-complete resolution of the abscess and complete disappearance of the IVC thrombus. The caudate lobe KLA complicated by IVC thrombosis, particularly gas-containing septic thrombosis, is rare but life-threatening. Multimodal ultrasound plays an important role in the early diagnosis and interventional management of KLA complicated by IVC thrombosis. Timely ultrasound-guided drainage with targeted antimicrobial therapy and individualized anticoagulation can achieve effective source control and favorable outcomes without open surgery."
132,"Subthreshold depression (StD) is considered a significant precursor to major depressive disorder (MDD). MDD has been associated with abnormalities in dopamine-coupled brain regions, particularly a few specific subcortical structures, which are considered a key pathophysiological mechanism. However, the precise role that subcortical structures play in the pathophysiology of StD is still unclear. We compared the seed-based whole-brain static and dynamic functional connectivity (sFC/dFC) of subcortical regions between 50 individuals with StD and 50 healthy controls (HC). Static and dynamic subcortical networks were constructed for each group, followed by graph theory, network-based statistical (NBS), and K-means clustering analyses. Individuals with StD exhibited decreased sFC/dFC in the amygdala, caudate, putamen, pallidum, and brainstem, with primary involvement of the prefrontal cortex, precuneus, and supramarginal gyrus. The global topological properties of static subcortical networks, including small-world property and local efficiency, were reduced in StD. In dynamic subcortical networks, two recurring FC patterns were identified, exhibiting altered temporal properties in StD. Additionally, exploratory analyses further suggested that dynamics of subcortical structures, particularly the amygdala and caudate, were modestly associated with the severity of depressive symptoms and showed predictive value in distinguishing StD from HC. These findings offer new perspectives on the neural mechanisms underlying subcortical disruptions in StD, highlighting dysfunction within the amygdala and caudate as potentially core neurobiological features."
133,"Dopamine plays a central role in mediating addictive disorders (ADs), encompassing both substance-related and behavioral conditions. Some neurobiological alterations reflect trait-like vulnerability, while others are state-dependent, arising from intoxication and withdrawal. In this study, we examined striatal dopamine transporter (DAT) availability in individuals with alcohol use disorder (AUD) and gambling disorders (GD) to disentangle core mechanisms underlying addiction. The study involved individuals with AUD (n = 14), GD (n = 14), and healthy controls (HC; n = 25). DAT binding in the bilateral caudate and putamen was assessed using single-photon emission computed tomography (SPECT) with the radiotracer <sup>123</sup>I-FP-CIT. ADs participants underwent evaluation for addiction-specific and general psychopathological symptom severity. In the caudate, individuals with AUD showed higher DAT availability compared to those with GD (d = 2.234) and HC (d = 1.368). No lateralization effects were observed in any of the models. Across all ADs, DAT availability in the left putamen was significantly associated with the duration of abstinence over the past four weeks (rho = 0.444), after covarying for depression and irrespective of the diagnostic group. Our findings support a DAT-mediated involvement in core neurobiological processes underlying both substance-related and behavioral addictions. We propose that, in ADs, a predisposing striatal DAT deficiency may coexist with alcohol-induced upregulations (substance-specific) and with dynamic, time-sensitive fluctuations related to withdrawal processes (non-specific, addiction-related). Although a small sample size limits the generalizability of this study, these results may stimulate further research toward developing targeted therapeutic interventions."
134,"Here, we report the case of a 65-year-old man who presented to the emergency department with paresthesia, psychomotor retardation, and dysarthria. Contrast-enhanced brain MRI revealed a solitary, contrast-enhancing mass in the right head of the caudate nucleus with extensive perifocal edema, raising a primary differential diagnosis of glioblastoma versus metastasis, among other possibilities. Prior to surgical removal of the suspected glioblastoma, the patient underwent additional diffusion tensor imaging and research MRI, including multifrequency magnetic resonance elastography (MRE) to generate mechanical property maps of stiffness and tissue viscosity and to potentially differentiate between glioma, brain metastases, and benign masses based on tissue biomechanical properties. MRE revealed abnormally high values of stiffness and viscosity-a mechanical signature known to be associated with brain metastases or meningioma, but not glioblastoma, which typically exhibits soft tissue properties with reduced viscous dissipation. Histopathologic evaluation confirmed MRE by revealing a distant metastasis of squamous cell carcinoma, the primary tumor of which was detected by PET-CT within the right hilus of the lung. This case demonstrates the diagnostic value of the biomechanical properties of brain tumors and raises the prospect of applying MRE as an easy-to-use MRI contrast that can rule out glioma when the suspicious lesion exhibits stiff-viscous material properties."
135,"<b>Background/Objectives</b>: Antipsychotic dosing for behavioral and psychological symptoms of dementia (BPSD) in Alzheimer's disease remains empirical and variable. This study develops a deep learning model to predict individualized antipsychotic doses from structural MRI. <b>Methods</b>: A transfer learning approach with a cascaded ResNet (Cas-ResNet) was used. The model was first pre-trained on a large healthy aging dataset (CBMFM, <i>n</i> = 646) for brain age prediction, then fine-tuned on a BPSD dataset (SMHC, <i>n</i> = 86) to predict the defined daily dose (DDD) of antipsychotics. Model interpretability was performed using Grad CAM to identify predictive brain regions. <b>Results</b>: The proposed model achieved a mean absolute error of 0.19 and a Pearson correlation of 0.66 between predicted and actual doses, outperforming baseline 3DCNN, VGG, and DenseNet. Key contributing regions included the left inferior temporal gyrus, right parahippocampal gyrus, right putamen, left middle temporal gyrus, and left caudate. <b>Conclusions</b>: This proof-of-concept study demonstrates that deep learning can predict personalized antipsychotic doses from structural MRI, offering an objective tool to standardize BPSD pharmacotherapy and reduce empirical prescribing. The identified brain regions provide neurobiological insights into treatment response."
136,"BackgroundThe endocannabinoid system (ECS) is important for several neurophysiological functions, including the regulation of emotions and cognitive processes. The most abundant brain cannabinoid receptor is cannabinoid receptor type 1 (CB1R). Several preclinical studies in Parkinson's disease (PD) models suggest that modulating CB1R may impact cognitive processing. However, there are very limited studies of the relation between CB1R and cognitive processing in PD patients.ObjectiveTo explore the relationship between CB1R availability and cognitive dysfunction in PD with [18F]FMPEP-d2 positron emission tomography (PET).MethodsA total of 23 individuals with PD underwent [18F]FMPEP-d2 PET to measure cerebral CB1R availability. Cognitive symptoms were evaluated using a standardized neuropsychological test battery covering various cognitive domains, such as episodic and working memory, executive functioning, language function, visuospatial function and attention, and were correlated with CB1R availability using voxel-wise regression analysis corrected for multiple comparisons using false discovery rate (FDR) at p < 0.01.ResultsPD patients with poorer performance in episodic memory tests showed lower CB1R availability, particularly in the cingulate, temporal, and visual cortices, and thalami. Also, PD patients with poorer executive functioning showed lower CB1R availability predominantly in the insulae, caudate nuclei, thalami, brainstem, and temporal cortices. No relationship was found between CB1R availability and language function, visuospatial function, or working memory capacity.ConclusionsDecreased CB1R availability in PD patients is correlated with episodic memory impairment and executive dysfunction, suggesting that the ECS has a role in the pathophysiology of cognitive symptoms in PD."
137,"The brain-heart axis is central to vascular health, yet no imaging biomarkers capture integrated dysfunction across neural and coronary microvascular networks. Although coronary microvascular dysfunction links to cognitive decline, neural correlates connecting cerebral efficiency with coronary physiology remain unclear. To determine whether the Unified Structural and Functional Connectivity (USFC)-a multimodal magnetic resonance imaging (MRI) ""traffic map"" of brain network efficiency-predicts coronary endothelial function and cognition in women with ischemia and no obstructive coronary artery disease (INOCA). Thirty-three women with suspected INOCA from the Women's Ischemia Syndrome Evaluation (WISE) study (NCT03876223) underwent invasive coronary function testing, cardiac MRI, cognitive evaluation, and multimodal brain MRI. USFC, structural connectivity (SC), and functional connectivity (FC) were computed for predefined 10 backbone pathways. Support vector regression and logistic classification assessed predictive performance. USFC explained 16%-20% more variance in coronary endothelial function, myocardial perfusion reserve, and cognition than SC or FC alone (p < 0.05). Connectivity between the left caudate-superior medial orbital gyrus and right calcarine-inferior occipital gyrus emerged as robust predictors of crystallized cognition (r = -0.78, p<sub>FDR</sub> < 0.05) and coronary endothelial function (r = 0.70, p<sub>FDR</sub> < 0.05), respectively. USFC also best discriminated low versus high coronary blood flow (area under the ROC curve [AUC]: USFC 0.622 vs. SC 0.349 and FC 0.425; p < 0.05). USFC identifies neuro-cardiac pathways linking cerebral efficiency with coronary endothelial function. These results introduce a sensitive biomarker of systemic vulnerability, highlighting occipital and frontostriatal pathways as shared substrates of dysfunction. USFC offers a mechanistic framework for detecting vascular risk across metabolically demanding tissues. ClinicalTrials.gov identifier: NCT03876223."
138,"Growing evidence in preclinical and clinical models suggests that prenatal cannabis exposure (PCE) is associated with changes in brain functioning and behavior. This observational longitudinal study examines these associations using biological measures of PCE in a sample of Black mother-infant dyads (N = 42), who have historically been underrepresented in developmental neuroimaging studies. Maternal urine samples collected during pregnancy (8-14 weeks of gestation) were assayed for 11-nor-9-carboxy-Δ<sup>9</sup>-tetrahydrocannabinol (COOH-THC) metabolites, providing a biologically verified measure of prenatal cannabis exposure. Newborns (57% female) completed a resting-state fMRI scan and were assessed using the NICU Network Neurobehavioral Scale at approximately 1 month postpartum. We performed voxelwise seed connectivity analyses using seeds in the bilateral hippocampus, insula, and caudate. We found that COOH-THC levels in early pregnancy were significantly associated with altered connectivity patterns in the hippocampus, insula, and caudate in infants. These functional connectivity patterns, however, were not correlated with indices of newborn neurobehavior. These preliminary results suggest that cannabis exposure early in pregnancy may impact neural connectivity shortly after birth, with effects that withstand the influence of co-occurring maternal psychosocial factors."
139,"Wilson's disease is an autosomal recessive disorder of copper metabolism that primarily affects the liver and brain, with onset typically in early adulthood. Pediatric presentations are rare, and the atypical presentation of psychiatric symptoms can delay the diagnosis process in low-resource settings. Epidemiological data on the disease, particularly in Syria, remain scarce. Early diagnosis is necessary to prevent irreversible hepatic and neurologic damage. An eight-year-old Syrian child presented with psychiatric and neurologic symptoms, including increased aggressiveness, learning difficulties, dysarthria, drooling while eating and drinking, and difficulty speaking, followed by weight loss and jaundice. A dental examination revealed no temporomandibular joint deformities, prompting neurological consultation. The neurological examination revealed difficulty walking with limb tremors and speech impairment. Laboratory findings showed slightly elevated transaminases and total iron-binding capacity with low serum iron, indicating hepatic dysfunction. Serum ceruloplasmin was markedly reduced (3.1 mg/dl), and 24-h urinary copper excretion was elevated. MRI of the brain revealed increased T2-weighted signal intensity in the caudate and lentiform nuclei. An ophthalmologic exam found Kayser-Fleischer rings at the corneal limbus. Esophagogastroduodenoscopy showed distal esophageal varices, and an abdominal ultrasound showed hepatomegaly and splenomegaly. The patient was treated with copper chelator penicillamine, dietary copper restriction, and physical therapy. Follow-up showed marked clinical improvement with recovery of motor function, improved speech, and resolution of jaundice. This instance underscores the necessity of evaluating Wilson's illness in pediatric patients exhibiting early behavioral and neurological signs, particularly emphasizing that prominent psychiatric manifestations may precede hepatic signs even in young children. Early administration of chelation therapy can lead to excellent outcomes even in resource-limited settings. Atypical presentations require increased awareness that may facilitate earlier detection and the prevention of irreversible organ damage."
140,"It is hypothesized that internet gaming disorder (IGD) shares psychological and neurobiological mechanisms with substance use disorders and behavioral addictions. However, the mechanisms of appetitive conditioning, extinction, and extinction recall in gaming disorder remain underexplored. A total of 83 male participants were enrolled in the study. The sample included 25 individuals with IGD, 23 gaming-risky (GR), and 35 non-problematic individuals. They underwent a classical conditioning, extinction, and extinction recall paradigm, with gaming-related, pornographic, and monetary stimuli used as unconditioned stimuli. Skin conductance responses (SCR), subjective ratings, and BOLD responses were recorded across all phases. No effects of group assignment were found in SCR and ratings data. We found significantly increased activation in the caudate and vmPFC in the non-problematic relative to the IGD group during acquisition learning and anticipation of pornographic rewards, and relative to the GR group, significantly increased activation in the caudate and vACC. These results suggest that individuals with problematic gaming may be less sensitive to non-addiction-related rewards. During extinction, the GR group showed significantly increased activation in the dACC, and during extinction recall marginally significantly in the amygdala, both during anticipation of gaming stimuli and compared to non-problematic users. Moreover, we found significantly greater amygdala activation in the IGD group than in the GR group during extinction training and anticipation of gaming stimuli. No differences were found between the IGD and non-problematic groups during extinction and extinction recall. The results provide preliminary evidence of altered appetitive extinction processes in individuals with problematic gaming use."
141,"Internet gaming disorder (IGD) is a behavioral addiction characterized by compulsive gaming and impaired control over gaming behavior. Although the reward system is central to addiction, the specific neural mechanisms through which IGD affects intrinsic and extrinsic rewards processing remain poorly understood. We recruited 21 individuals with IGD and 23 recreational gaming users (RGU). Participants underwent functional magnetic resonance imaging (fMRI) while performing a cue-craving task with four types of stimuli: intrinsic reward, extrinsic reward, neutral, and gaming cues. Behavioral data (reaction time, subjective craving) were analyzed using repeated-measures ANOVA (stimulus type × group), and neural responses were analyzed using a general linear model and seed-based functional connectivity analysis. Compared to RGU, individuals with IGD exhibit faster responses to gaming cues, stronger cravings, and altered evaluations of intrinsic rewards. Neuroimaging analysis revealed excessive synchronization in the striatum-thalamus functional connectivity during processing of intrinsic rewards in the IGD group, particularly enhanced connectivity from the left thalamus to the right caudate nucleus. Furthermore, distinct patterns of brain connectivity emerged across stimulus conditions: under gaming cues, the IGD group exhibited significantly stronger connections between the default mode network and core nodes of the reward network (e.g., nucleus accumbens-prefrontal cortex) than the RGU group. Our findings indicate that IGD is associated with aberrant neural reward processing, including striatal-thalamic hyper-synchronization, which may underlie the hijacking of intrinsic reward mechanisms. These results support a 'self-efficacy-sensory drive' model of IGD, providing a neurobiological basis for targeted interventions."
142,"Cerebrospinal fluid (CSF) status is an indicator of pathological feature associated with metabolic waste clearance dysfunction in Alzheimer's disease (AD) progression. Magnetic resonance-based conductivity imaging provides novel contrast sensitive to ion concentration, mobility, and microstructural changes. We applied conductivity imaging to 5xFAD mice and age-matched wild-type controls using 9.4 T MRI, measuring regional conductivity in ventricular CSF, caudate putamen, cerebral cortex, thalamus, and hippocampus. AD mice showed ventricular enlargement with significantly elevated CSF conductivity, and increased hippocampal conductivity consistent with AD involvement, but no changes in other regions. These findings suggest conductivity imaging as a marker of fluid microenvironmental changes in AD."
